start,finish,distance,flights,steps
3/9/15 0:00,4/9/15 0:00,0.49390932,1,938
4/9/15 0:00,5/9/15 0:00,0,0,0
5/9/15 0:00,6/9/15 0:00,2.743136334,0,5623
6/9/15 0:00,7/9/15 0:00,2.784289748,3,5447
7/9/15 0:00,8/9/15 0:00,2.208639048,0,4588
8/9/15 0:00,9/9/15 0:00,1.111782192,0,2233
9/9/15 0:00,10/9/15 0:00,2.636645739,3,5354
10/9/15 0:00,11/9/15 0:00,5.317247276,15,12181
11/9/15 0:00,12/9/15 0:00,4.045114034,12,8981
12/9/15 0:00,13/9/15 0:00,2.209036726,9,4568
13/9/15 0:00,14/9/15 0:00,2.676587479,4,5690
14/9/15 0:00,15/9/15 0:00,2.856853476,6,6243
15/9/15 0:00,16/9/15 0:00,2.917611151,6,5971
16/9/15 0:00,17/9/15 0:00,2.6876541,3,5651
17/9/15 0:00,18/9/15 0:00,2.126127167,4,4921
18/9/15 0:00,19/9/15 0:00,2.179415961,2,4699
19/9/15 0:00,20/9/15 0:00,2.915802961,6,6461
20/9/15 0:00,21/9/15 0:00,3.616007516,3,7408
21/9/15 0:00,22/9/15 0:00,4.384159011,14,9327
22/9/15 0:00,23/9/15 0:00,3.705230206,15,7778
23/9/15 0:00,24/9/15 0:00,3.090663028,2,6527
24/9/15 0:00,25/9/15 0:00,3.214962121,5,6864
25/9/15 0:00,26/9/15 0:00,2.907459534,6,6345
26/9/15 0:00,27/9/15 0:00,1.864727146,10,3931
27/9/15 0:00,28/9/15 0:00,4.307202189,3,9138
28/9/15 0:00,29/9/15 0:00,3.504763432,4,7674
29/9/15 0:00,30/9/15 0:00,2.792665832,7,5726
30/9/15 0:00,1/10/15 0:00,2.626542243,5,5718
1/10/15 0:00,2/10/15 0:00,1.871712946,5,3877
2/10/15 0:00,3/10/15 0:00,4.143967977,4,8563
3/10/15 0:00,4/10/15 0:00,3.245806987,8,7245
4/10/15 0:00,5/10/15 0:00,3.818226557,5,7938
5/10/15 0:00,6/10/15 0:00,4.165858884,5,8453
6/10/15 0:00,7/10/15 0:00,2.262058329,3,4904
7/10/15 0:00,8/10/15 0:00,2.514347461,5,5221
8/10/15 0:00,9/10/15 0:00,2.905065667,3,6218
9/10/15 0:00,10/10/15 0:00,3.916608258,4,8049
10/10/15 0:00,11/10/15 0:00,1.790860127,13,3365
11/10/15 0:00,12/10/15 0:00,3.875709606,10,8282
12/10/15 0:00,13/10/15 0:00,3.462286497,2,7512
13/10/15 0:00,14/10/15 0:00,2.302130558,14,5054
14/10/15 0:00,15/10/15 0:00,2.10269526,4,4657
15/10/15 0:00,16/10/15 0:00,3.080397976,5,6521
16/10/15 0:00,17/10/15 0:00,1.976264863,5,4250
17/10/15 0:00,18/10/15 0:00,3.880239402,9,8797
18/10/15 0:00,19/10/15 0:00,1.052975622,0,2146
19/10/15 0:00,20/10/15 0:00,2.594485703,14,5613
20/10/15 0:00,21/10/15 0:00,4.746665865,27,10507
21/10/15 0:00,22/10/15 0:00,2.114035284,5,4360
22/10/15 0:00,23/10/15 0:00,0.952916219,2,2262
23/10/15 0:00,24/10/15 0:00,3.243408494,10,7051
24/10/15 0:00,25/10/15 0:00,2.606391176,18,5903
25/10/15 0:00,26/10/15 0:00,4.124425853,8,8988
26/10/15 0:00,27/10/15 0:00,2.141543387,3,4798
27/10/15 0:00,28/10/15 0:00,3.272942267,7,7636
28/10/15 0:00,29/10/15 0:00,2.212503977,4,5063
29/10/15 0:00,30/10/15 0:00,1.525602979,8,3651
30/10/15 0:00,31/10/15 0:00,1.468573531,5,3460
31/10/15 0:00,1/11/15 0:00,2.350783922,3,4768
1/11/15 0:00,2/11/15 0:00,2.871573759,6,6339
2/11/15 0:00,3/11/15 0:00,1.322675575,5,3001
3/11/15 0:00,4/11/15 0:00,1.201154011,4,2666
4/11/15 0:00,5/11/15 0:00,1.361175734,4,2864
5/11/15 0:00,6/11/15 0:00,1.228165016,3,2638
6/11/15 0:00,7/11/15 0:00,2.178427981,7,4522
7/11/15 0:00,8/11/15 0:00,4.681988438,14,10014
8/11/15 0:00,9/11/15 0:00,1.871911772,4,3934
9/11/15 0:00,10/11/15 0:00,1.198221139,3,2737
10/11/15 0:00,11/11/15 0:00,1.639842072,9,3508
11/11/15 0:00,12/11/15 0:00,5.269211379,19,11497
12/11/15 0:00,13/11/15 0:00,2.000423775,5,4387
13/11/15 0:00,14/11/15 0:00,1.704691126,5,4208
14/11/15 0:00,15/11/15 0:00,4.447750274,5,6976
15/11/15 0:00,16/11/15 0:00,3.198862394,12,7131
16/11/15 0:00,17/11/15 0:00,1.918937157,5,4251
17/11/15 0:00,18/11/15 0:00,2.095419003,7,4998
18/11/15 0:00,19/11/15 0:00,3.00408758,9,6393
19/11/15 0:00,20/11/15 0:00,0.004380667,0,15
20/11/15 0:00,21/11/15 0:00,0.069146186,0,117
21/11/15 0:00,22/11/15 0:00,2.488604882,2,5281
22/11/15 0:00,23/11/15 0:00,3.130816034,8,6598
23/11/15 0:00,24/11/15 0:00,1.906385459,4,4572
24/11/15 0:00,25/11/15 0:00,2.067264674,7,4859
25/11/15 0:00,26/11/15 0:00,0.024643581,0,29
26/11/15 0:00,27/11/15 0:00,1.863367931,7,4267
27/11/15 0:00,28/11/15 0:00,2.85434935,9,6375
28/11/15 0:00,29/11/15 0:00,3.271929432,12,6517
29/11/15 0:00,30/11/15 0:00,2.083818003,5,4397
30/11/15 0:00,1/12/15 0:00,3.809185606,6,8552
1/12/15 0:00,2/12/15 0:00,1.958661417,4,4427
2/12/15 0:00,3/12/15 0:00,3.454513143,6,7514
3/12/15 0:00,4/12/15 0:00,3.327436521,6,7441
4/12/15 0:00,5/12/15 0:00,1.106127714,3,2646
5/12/15 0:00,6/12/15 0:00,2.470373022,8,5212
6/12/15 0:00,7/12/15 0:00,3.784001432,5,8211
7/12/15 0:00,8/12/15 0:00,1.852040334,5,4189
8/12/15 0:00,9/12/15 0:00,1.770845761,4,3969
9/12/15 0:00,10/12/15 0:00,1.149406218,4,2640
10/12/15 0:00,11/12/15 0:00,1.202148204,6,2710
11/12/15 0:00,12/12/15 0:00,1.737703443,3,3863
12/12/15 0:00,13/12/15 0:00,2.339021365,5,4914
13/12/15 0:00,14/12/15 0:00,3.133860753,9,6705
14/12/15 0:00,15/12/15 0:00,1.796477322,5,3983
15/12/15 0:00,16/12/15 0:00,2.079269566,6,4928
16/12/15 0:00,17/12/15 0:00,3.166818281,7,7348
17/12/15 0:00,18/12/15 0:00,3.386852506,5,7470
18/12/15 0:00,19/12/15 0:00,2.137336704,9,4847
19/12/15 0:00,20/12/15 0:00,2.650968345,4,5688
20/12/15 0:00,21/12/15 0:00,5.21845547,18,10698
21/12/15 0:00,22/12/15 0:00,2.445244771,7,5345
