Date,App,Minutes
6-May-19,WhatsApp,49
6-May-19,Safari,65
6-May-19,Facebook,11
6-May-19,Instagram,14
6-May-19,Total,214
7-May-19,WhatsApp,25
7-May-19,Safari,26
7-May-19,Facebook,7
7-May-19,Instagram,5
7-May-19,Total,146
8-May-19,WhatsApp,23
8-May-19,Safari,20
8-May-19,Facebook,5
8-May-19,Instagram,4
8-May-19,Total,126
9-May-19,WhatsApp,41
9-May-19,Safari,12
9-May-19,Facebook,10
9-May-19,Instagram,1
9-May-19,Total,158
10-May-19,WhatsApp,50
10-May-19,Safari,6
10-May-19,Facebook,21
10-May-19,Instagram,4
10-May-19,Total,166
11-May-19,WhatsApp,65
11-May-19,Safari,26
11-May-19,Facebook,7
11-May-19,Instagram,4
11-May-19,Total,166
12-May-19,WhatsApp,17
12-May-19,Safari,37
12-May-19,Facebook,3
12-May-19,Instagram,12
12-May-19,Total,135
13-May-19,WhatsApp,33
13-May-19,Safari,97
13-May-19,Facebook,4
13-May-19,Instagram,7
13-May-19,Total,208
14-May-19,WhatsApp,41
14-May-19,Safari,40
14-May-19,Facebook,2
14-May-19,Instagram,1
14-May-19,Total,141
15-May-19,WhatsApp,30
15-May-19,Safari,4
15-May-19,Facebook,1
15-May-19,Instagram,6
15-May-19,Total,104
